古代帝王的女婿，也就是公主的丈夫通常被称为什么爷	驸马爷
位于内蒙古自治区，以盛产羊绒和煤炭而闻名的城市叫做什么	鄂尔多斯
94男足世界杯上，身穿7号球衣，与罗马里奥合称“梦幻组合”的巴西球员是谁	贝贝托
师从多明戈，具有“亚洲第一男中音”美誉的是我国哪位著名男歌唱家	廖昌永
赵咏华的《最浪漫的事》中，“我能想到最浪漫的事，就是和你一起怎么样”	《最浪漫的事》一首由姚若龙作词,李正帆作曲的名曲
梁山首领，外号“及时雨”的谁	梁山老大宋江的名号
地球的直径是多少	赤道半径
为什么会大规模传染疾病	●中国没有记录
二战时期，为德国海军提出了群狼战术的海军元帅是	邓尼茨 当时他不是海军元帅,当时是是雷德尔
现代原子钟每170万年只有多少误差	1
诗句“少壮不努力”的下句是什么	　　少壮不努力,老大徒伤悲
南唐后主李煜被杀是因为自己作的哪首词被宋太祖认为想谋反	《虞美人》
2012年欧洲冠军联赛总决赛中哪支队伍通过点球大战首次夺得冠军杯	2012年欧洲冠军联赛总决赛中哪支队伍通过点球大战首次夺得冠军杯
被称为“地球之肺”的是哪片位于南美洲的热带雨林	亚马逊
博鳌亚洲论坛在我国哪个省举办	海南省 琼海市 博鳌镇 如有帮助 请采纳
陕北名歌中唱到，什么花开红艳艳	山丹丹
“这是最好的时代，也是最坏的时代。”是哪部世界名著的开场白	双城记
美国著名网球运动员，一对黑人姐妹花，她们姓什么	威廉姆斯
谚语“男怕入错行”的下一句是	嫁错郎
爱斯基摩人爱吃生肉的重要原因之一是什么	为了补充维生素
被称为“西方文明的摇篮”，民主政治的起源地是古希腊的哪个城邦	古希腊的 雅典
中国古代的足球运动在公元前年就已盛行，当时这项运动叫什么	蹴鞠
插花节是在农历几月份	插花节是彝族的风俗习惯
美国前总统乔治·沃克·布什所属政党是美国什么党	是乔治沃克布什属于共和党
国家最少的大陆是哪块	深圳
“环肥燕瘦”中的“燕”指的是谁	赵飞燕 赵飞燕 生于前45年 卒于前1年 赵飞燕原名宜生，是汉代著名的舞蹈家，因其舞姿轻盈如燕飞凤舞，故人们称其为“飞燕”
潜水员的脚蹼是根据哪种两栖动物发明的	潜水员的脚蹼是根据哪种两栖动物发明的? 青蛙
台湾第一位巡抚，被称为“台湾近代化之父”的是谁	刘铭传
诗句“不要人夸颜色好，只留清气满乾坤”歌颂的是哪种花	梅花
被成为“曼联国王”，四次带领曼联获得英超冠军的球星是谁	埃里克坎通纳
